value
"Toronto, ON"
"Laredo, TX"
"Madison, WI"
"Chandler, AZ"
"Buffalo, NY"
"Lubbock, TX"
"Scottsdale, AZ"
"Reno, NV"
"Glendale, AZ"
"Gilbert, AZ"
"Winston–Salem, NC"
"North Las Vegas, NV"
"Norfolk, VA"
"Chesapeake, VA"
"Garland, TX"
"Irving, TX"
"Hialeah, FL"
"Fremont, CA"
"Boise, ID"
"Richmond, VA"
"Baton Rouge, LA"
"Spokane, WA"
"Des Moines, IA"
"Tacoma, WA"
"San Bernardino, CA"
"Modesto, CA"
"Fontana, CA"
"Santa Clarita, CA"
"Birmingham, AL"
"Oxnard, CA"
"Fayetteville, NC"
"Moreno Valley, CA"
"Rochester, NY"
"Glendale, CA"
"Huntington Beach, CA"
"Salt Lake City, UT"
"Grand Rapids, MI"
"Amarillo, TX"
"Yonkers, NY"
"Aurora, IL"
"Montgomery, AL"
"Akron, OH"
"Little Rock, AR"
"Huntsville, AL"
"Augusta, GA"
"Port St. Lucie, FL"
"Grand Prairie, TX"
"Columbus, GA"
"Tallahassee, FL"
"Overland Park, KS"
"Tempe, AZ"
"McKinney, TX"
"Mobile, AL"
"Cape Coral, FL"
"Shreveport, LA"
"Frisco, TX"
"Knoxville, TN"
"Worcester, MA"
"Brownsville, TX"
"Vancouver, WA"
"Fort Lauderdale, FL"
"Sioux Falls, SD"
"Ontario, CA"
"Chattanooga, TN"
"Providence, RI"
"Newport News, VA"
"Rancho Cucamonga, CA"
"Santa Rosa, CA"
"Oceanside, CA"
"Salem, OR"
"Elk Grove, CA"
"Garden Grove, CA"
"Pembroke Pines, FL"
"Peoria, AZ"
"Eugene, OR"
"Corona, CA"
"Cary, NC"
"Springfield, MO"
"Fort Collins, CO"
"Jackson, MS"
"Alexandria, VA"
"Hayward, CA"
"Lancaster, CA"
"Lakewood, CO"
"Clarksville, TN"
"Palmdale, CA"
"Salinas, CA"
"Springfield, MA"
"Hollywood, FL"
"Pasadena, TX"
"Sunnyvale, CA"
"Macon, GA"
"Kansas City, KS"
"Pomona, CA"
"Escondido, CA"
"Killeen, TX"
"Naperville, IL"
"Joliet, IL"
"Bellevue, WA"
"Rockford, IL"
"Savannah, GA"
"Paterson, NJ"
"Torrance, CA"
"Bridgeport, CT"
"McAllen, TX"
"Mesquite, TX"
"Syracuse, NY"
"Midland, TX"
"Pasadena, CA"
"Murfreesboro, TN"
"Miramar, FL"
"Dayton, OH"
"Fullerton, CA"
"Olathe, KS"
"Orange, CA"
"Thornton, CO"
"Roseville, CA"
"Denton, TX"
"Waco, TX"
"Surprise, AZ"
"Carrollton, TX"
"West Valley City, UT"
"Charleston, SC"
"Warren, MI"
"Hampton, VA"
"Gainesville, FL"
"Visalia, CA"
"Coral Springs, FL"
"Columbia, SC"
"Cedar Rapids, IA"
"Sterling Heights, MI"
"New Haven, CT"
"Stamford, CT"
"Concord, CA"
"Kent, WA"
"Santa Clara, CA"
"Elizabeth, NJ"
"Round Rock, TX"
"Thousand Oaks, CA"
"Lafayette, LA"
"Athens, GA"
"Topeka, KS"
"Simi Valley, CA"
"Fargo, ND"
"Norman, OK"
"Columbia, MO"
"Abilene, TX"
"Wilmington, NC"
"Hartford, CT"
"Victorville, CA"
"Pearland, TX"
"Vallejo, CA"
"Ann Arbor, MI"
"Berkeley, CA"
"Allentown, PA"
"Richardson, TX"
"Odessa, TX"
"Arvada, CO"
"Cambridge, MA"
"Sugar Land, TX"
"Beaumont, TX"
"Lansing, MI"
"Evansville, IN"
"Rochester, MN"
"Independence, MO"
"Fairfield, CA"
"Provo, UT"
"Clearwater, FL"
"College Station, TX"
"West Jordan, UT"
"Carlsbad, CA"
"El Monte, CA"
"Murrieta, CA"
"Temecula, CA"
"Springfield, IL"
"Palm Bay, FL"
"Costa Mesa, CA"
"Westminster, CO"
"North Charleston, SC"
"Miami Gardens, FL"
"Manchester, NH"
"High Point, NC"
"Downey, CA"
"Clovis, CA"
"Pompano Beach, FL"
"Pueblo, CO"
"Elgin, IL"
"Lowell, MA"
"Antioch, CA"
"West Palm Beach, FL"
"Peoria, IL"
"Everett, WA"
"Ventura, CA"
"Centennial, CO"
"Lakeland, FL"
"Gresham, OR"
"Richmond, CA"
"Billings, MT"
"Inglewood, CA"
"Broken Arrow, OK"
"Sandy Springs, GA"
"Jurupa Valley, CA"
"Hillsboro, OR"
"Waterbury, CT"
"Santa Maria, CA"
"Boulder, CO"
"Greeley, CO"
"Daly City, CA"
"Meridian, ID"
"Lewisville, TX"
"Davie, FL"
"West Covina, CA"
"League City, TX"
"Tyler, TX"
"Norwalk, CA"
"San Mateo, CA"
"Green Bay, WI"
"Wichita Falls, TX"
"Sparks, NV"
"Lakewood, NJ"
"Burbank, CA"
"Rialto, CA"
"Allen, TX"
"El Cajon, CA"
"Las Cruces, NM"
"Renton, WA"
"Davenport, IA"
"South Bend, IN"
"Vista, CA"
"Tuscaloosa, AL"
"Clinton, MI"
"Edison, NJ"
"Woodbridge, NJ"
"San Angelo, TX"
"Kenosha, WI"
"Vacaville, CA"
